P	Q
38.9	33.7312
2.5	28.1178
0	13.081
0	7.8994
0	5.6642
0	4.9276
0	4.1656
0	3.4544
0	2.9718
11.9	2.7686
3.3	2.9464
28.4	3.3528
10.7	6.5786
24.9	12.065
2	9.8806
1	5.8166
0	4.0894
0	3.2004
0	2.7432
0	2.3876
0	2.0828
0.5	1.8542
0.5	1.7018
0.5	1.5748
4.1	1.4732
3	1.3462
1	1.2192
0	1.143
0	1.0668
12.4	1.143
0.5	1.0414
16.5	1.016
66.8	11.0998
11.4	8.6868
2.5	5.9944
2.5	4.0386
3.6	3.175
0.8	2.667
24.6	4.1148
0.3	4.0132
0	3.0988
0	2.5654
4.1	2.2352
24.4	2.8448
18.5	3.8608
6.9	5.2324
1.5	4.3688
3.6	3.5052
0	2.8702
0.5	2.4384
3.6	2.1082
0	1.8542
0	1.6764
0.3	1.524
6.6	1.4224
6.9	1.4224
0	1.3462
3.8	1.2192
2.8	1.143
7.6	1.1938
8.1	1.6002
0	1.6002
1.8	1.3462
0	1.1684
0	1.0414
0	0.9144
0	0.8636
0	0.8382
12.7	0.9652
6.4	0.9906
0	0.889
2.5	0.8382
0	0.7874
0	0.762
0	0.7366
0	0.6858
0	0.6604
0	0.6604
0	0.635
0	0.635
0	0.6096
0	0.5842
0	0.5842
0	0.5588
0	0.5334
0	0.508
0	0.4826
0	0.4572
0	0.4572
0	0.4318
0	0.4318
0.5	0.4064
0	0.4572
0	0.4064
0	0.4572
0	0.4572
0	0.4064
0	0.4064
0	0.381
0	0.381
0	0.3556
0	0.3556
0	0.3556
0	0.3556
0	0.3556
0	0.3302
0	0.3302
0	0.3048
0	0.3048
0	0.2794
0	0.254
0	0.254
0	0.2286
0	0.2286
0	0.2286
0	0.254
0	0.2794
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.2286
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
26.7	0.4826
6.6	0.4572
0	0.381
11.9	0.2794
18.8	0.6096
2.8	0.5588
0.5	0.381
0	0.3048
0	0.2794
0	0.254
0	0.2286
0	0.2286
0	0.2286
0	0.2286
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.1778
0	0.1524
0	0.1524
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.2032
0	0.2032
0	0.2032
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
48.8	0.5588
1.8	0.762
0	0.3048
2.8	0.254
0	0.254
0	0.2286
0	0.2286
0	0.2032
0	0.2032
0	0.2032
0	0.1778
0	0.1778
0	0.1778
0	0.2032
0	0.1778
0	0.1778
0	0.1778
2.8	0.1778
35.8	0.8382
1.8	0.635
0	0.381
0	0.3048
14	0.2794
0	0.5334
0	0.4572
0	0.4064
4.1	0.3302
71.6	5.2832
15.2	3.7338
40.1	6.5278
21.6	6.0198
22.1	6.1214
11.2	4.6228
2.5	2.9464
11.7	2.3368
1.5	2.2352
0	1.8034
0	1.4478
0	1.143
0	0.9398
0	0.8636
0	0.8128
0	0.762
0	0.7112
0	0.6604
0	0.6096
0	0.5842
0	0.5588
0	0.5334
0	0.508
0	0.508
0	0.4826
0	0.4826
0	0.4572
0	0.4318
5.1	0.4318
22.4	0.762
0	0.7112
0	0.635
49.5	2.7432
12.7	6.8072
5.6	3.8354
19.6	3.6576
11.7	5.1308
0	4.0894
0	2.6924
21.1	2.2606
1.3	2.9464
14.5	2.8702
1.3	3.7592
12.4	3.2512
54.6	11.9888
5.1	12.9794
2.5	5.842
0	3.937
0.8	2.9972
43.4	3.048
27.7	18.669
9.7	11.43
0	6.5278
19.3	4.6228
29	14.224
32.8	13.462
65	26.2636
14.7	22.8854
0	12.573
6.1	8.2296
4.8	7.62
0	6.35
0	4.7752
0	3.683
0	2.9464
0	2.5146
1.3	2.1844
8.1	1.9812
5.8	1.9558
31.2	5.334
2.3	6.1468
14.2	4.318
0	3.81
2.5	3.1496
0	2.7686
0.3	2.4892
0.8	2.2352
